Time,CognitiveLoadValue,StandardDeviation,DataState
09:45:08,0.5046232,0.144223,0
09:45:09,0.6924498,0.137757,0
09:45:10,0.7106854,0.1187015,0
09:45:11,0.7125185,0.1232977,0
09:45:12,0.7143589,0.1179076,0
09:45:13,0.7058125,0.1313784,0
09:45:14,0.7004688,0.1208807,0
09:45:15,0.7001926,0.1299018,0
09:45:16,0.503962,0.1236566,0
09:45:17,0.5184896,0.122756,0
09:45:18,0.5357449,0.1097995,0
09:45:19,0.5288022,0.111968,0
09:45:20,0.5303109,0.1137218,0
09:45:21,0.739499,0.1167118,0
09:45:22,0.5553187,0.1204952,0
09:45:23,0.7412169,0.1225832,0
09:45:24,0.7143669,0.1276869,0
09:45:25,0.6972157,0.1316421,0
09:45:26,0.6924645,0.1415004,0
09:45:27,0.6928022,0.146071,0
09:45:28,0.5187436,0.1476565,0
09:45:29,0.5258305,0.1415991,0
09:45:30,0.5132024,0.1453718,0
09:45:31,0.5046368,0.1500456,0
09:45:32,0.5115001,0.1520877,0
09:45:33,0.5056162,0.1529856,0
09:45:34,0.508288,0.1515579,0
09:45:35,0.4907034,0.150152,0
09:45:36,0.4871515,0.156022,0
09:45:37,0.4922849,0.1555979,0
09:45:38,0.4824534,0.1658102,0
09:45:39,0.4912042,0.1816401,0
09:45:40,0.6693777,0.1968141,0
09:45:41,0.6427313,0.2134996,0
09:45:42,0.6621864,0.2211054,0
09:45:43,0.6861424,0.2191348,0
09:45:44,0.6966404,0.2181662,0
09:45:45,0.6680332,0.2152171,0
09:45:46,0.7520153,0.1977167,0
09:45:47,0.3136128,0.1968985,0
09:45:48,0.329583,0.1855955,0
09:45:49,0.3387057,0.1774107,0
09:45:50,0.323178,0.1622624,0
09:45:51,0.3446671,0.1866134,0
09:45:52,0.3218898,0.1652777,0
09:45:53,0.3436045,0.1726432,0
09:45:54,0.361034,0.1825757,0
09:45:55,0.3706843,0.2028109,0
09:45:56,0.3497046,0.2164872,0
09:45:57,0.336905,0.222686,0
09:45:58,0.2896003,0.2261793,0
09:45:59,0.2657824,0.2220817,0
09:46:00,0.2455604,0.2174354,0
09:46:01,0.6591412,0.2068055,0
09:46:02,0.6451828,0.1944533,0
09:46:03,0.6550374,0.2014811,0
09:46:04,0.6536326,0.2008468,0
09:46:05,0.6429474,0.1972747,0
09:46:06,0.6415174,0.2011154,0
09:46:07,0.6407644,0.1963237,0
09:46:08,0.6413963,0.1779606,0
09:46:09,0.6408126,0.1706441,0
09:46:10,0.6610454,0.1827004,0
09:46:11,0.6796232,0.1915775,0
09:46:12,0.4901706,0.1961375,0
09:46:13,0.6775045,0.2017102,0
09:46:14,0.6834867,0.202663,0
09:46:15,0.680829,0.2035087,0
09:46:16,0.6734697,0.2075576,0
09:46:17,0.6588151,0.2043026,0
09:46:18,0.6647235,0.2021669,0
09:46:19,0.6704033,0.2117928,0
09:46:20,0.3177568,0.2120149,0
09:46:21,0.3222741,0.1965207,0
09:46:22,0.3354485,0.202056,0
09:46:23,0.3208427,0.2052636,0
09:46:24,0.3152246,0.1987076,0
09:46:25,0.2989607,0.1894753,0
09:46:26,0.2900154,0.2044433,0
09:46:27,0.710234,0.2046378,0
09:46:28,0.2655146,0.2011313,0
09:46:29,0.7016489,0.1971386,0
09:46:30,0.6526322,0.1993455,0
09:46:31,0.6550466,0.1959324,0
09:46:32,0.6734304,0.1614297,0
09:46:33,0.4894845,0.1431057,0
09:46:34,0.4952394,0.1450285,0
09:46:35,0.5046252,0.1317693,0
09:46:36,0.5103614,0.1294883,0
09:46:37,0.5237847,0.1269167,0
09:46:38,0.5323949,0.1287333,0
09:46:39,0.5280502,0.1306956,0
09:46:40,0.5517946,0.1332649,0
09:46:41,0.5358239,0.1545431,0
09:46:42,0.4999667,0.1745317,0
09:46:43,0.6752164,0.2027533,0
09:46:44,0.6554418,0.2332037,0
09:46:45,0.2457673,0.2327913,0
09:46:46,0.2754264,0.2274147,0
09:46:47,0.2688404,0.2330402,0
09:46:48,0.2810191,0.2273726,0
09:46:49,0.3204925,0.2133809,0
09:46:50,0.2773558,0.1829407,0
09:46:51,0.2578973,0.1723931,0
09:46:52,0.2362782,0.1563528,0
09:46:53,0.2511179,0.1686639,0
09:46:54,0.2567386,0.1770342,0
09:46:55,0.2545607,0.1945185,0
09:46:56,0.2461233,0.2106041,0
09:46:57,0.7079371,0.2226896,0
09:46:58,0.710449,0.21785,0
09:46:59,0.7154481,0.2242864,0
09:47:00,0.2619776,0.222671,0
09:47:01,0.2726098,0.2351671,0
09:47:02,0.2667707,0.2407817,0
09:47:03,0.7369357,0.2588159,0
09:47:04,0.6765521,0.272556,0
09:47:05,0.6396968,0.2806421,0
09:47:06,0.6441312,0.2751564,0
09:47:07,0.6192285,0.2636636,0
09:47:08,0.6946819,0.2561902,0
09:47:09,0.7219478,0.2412403,0
09:47:10,0.3638551,0.2163637,0
09:47:11,0.3699691,0.206672,0
09:47:12,0.5990054,0.1979995,0
09:47:13,0.3644841,0.194478,0
09:47:14,0.5686789,0.1854807,0
09:47:15,0.5697826,0.1669645,0
09:47:16,0.5615,0.1669583,0
09:47:17,0.5113602,0.1657689,0
09:47:18,0.5174004,0.1808627,0
09:47:19,0.5182329,0.1758028,0
09:47:20,0.5103378,0.1677852,0
09:47:21,0.5075278,0.1667923,0
09:47:22,0.6830808,0.1688002,0
09:47:23,0.488356,0.1716466,0
09:47:24,0.676877,0.1639572,0
09:47:25,0.4908368,0.1554209,0
09:47:26,0.6696561,0.1514248,0
09:47:27,0.694799,0.1466553,0
09:47:28,0.6923279,0.1414067,0
09:47:29,0.6857202,0.1421956,0
09:47:30,0.6728787,0.1406156,0
09:47:31,0.6672183,0.1362171,0
09:47:32,0.6763104,0.1326386,0
09:47:33,0.6874289,0.1297032,0
09:47:34,0.6937216,0.1283598,0
09:47:35,0.698984,0.1294222,0
09:47:36,0.7072814,0.1328609,0
09:47:37,0.7098536,0.140058,0
09:47:38,0.7309766,0.139995,0
09:47:39,0.5422776,0.1419773,0
09:47:40,0.7090135,0.1452802,0
09:47:41,0.690316,0.1459579,0
09:47:42,0.6818666,0.1428979,0
09:47:43,0.6949794,0.1403148,0
09:47:44,0.6835572,0.1364081,0
09:47:45,0.6990643,0.1393467,0
09:47:46,0.6869397,0.1336278,0
09:47:47,0.682175,0.1320886,0
09:47:48,0.6841054,0.1312928,0
09:47:49,0.6982561,0.1331985,0
09:47:50,0.6824446,0.1334985,0
09:47:51,0.6846161,0.1298405,0
09:47:52,0.6821521,0.1414191,0
09:47:53,0.6889032,0.1418386,0
09:47:54,0.6835428,0.1497996,0
09:47:55,0.5108514,0.1496419,0
09:47:56,0.5448667,0.1513694,0
09:47:57,0.5492484,0.1488212,0
09:47:58,0.5632328,0.1503936,0
09:47:59,0.552503,0.1494299,0
09:48:00,0.5127445,0.1399165,0
09:48:01,0.5345013,0.1565855,0
09:48:02,0.5160124,0.1564007,0
09:48:03,0.5979028,0.1683231,0
09:48:04,0.6400785,0.1592074,0
09:48:05,0.3784374,0.1480269,0
09:48:06,0.3709106,0.1393463,0
09:48:07,0.3693528,0.1462845,0
09:48:08,0.3613695,0.1491042,0
09:48:09,0.3444234,0.1624687,0
09:48:10,0.3515657,0.1723578,0
09:48:11,0.3172704,0.147874,0
09:48:12,0.3035145,0.1342738,0
